recipe_line_id;menu_item_id;menu_item_name;ingredient_id;ingredient_name;quantity_per_portion;unit;preparation_loss_pct;effective_quantity_per_portion;
RL-0264;MI-058;Extra Sous-vide / Seared Chicken;PROT-002;Sous-vide chicken;80;g;5%;84.211;
RL-0265;MI-059;Extra Pan Seared Tofu;PROT-009;Pan-seared tofu;65;g;3%;67.01;
RL-0266;MI-060;Extra Eggplant;PROT-011;Crispy eggplant;100;g;5%;105.263;
RL-0267;MI-061;Extra Falafels;PROT-010;Miso beet falafel;4;ea;2%;4.082;
RL-0268;MI-062;Extra Karaage Chicken;PROT-003;Karaage chicken;100;g;3%;103.093;
RL-0269;MI-063;Extra Tiger Prawns (I);PROT-008;Tiger prawns;65;g;8%;70.652;
RL-0270;MI-064;Extra Aburi / Sashimi Salmon (A);PROT-006;Sashimi salmon;65;g;12%;73.864;
RL-0271;MI-065;Extra Sashimi Tuna (A);PROT-007;Sashimi tuna;65;g;10%;72.222;
RL-0272;MI-066;Extra Wagyu;PROT-004;Flame-seared wagyu;60;g;8%;65.217;
;;;;;;;;;
;;;;;;;;;
