"_id";"date";"total_reservation";"total_people"
"RES-00635";"2025-09-26";"25";"65"
"RES-00636";"2025-09-27";"29";"65"
"RES-00637";"2025-09-28";"28";"70"
"RES-00638";"2025-09-29";"31";"81"
"RES-00639";"2025-09-30";"17";"31"
"RES-00640";"2025-10-01";"16";"34"
"RES-00641";"2025-10-02";"16";"39"
"RES-00642";"2025-10-03";"20";"48"
"RES-00643";"2025-10-04";"28";"70"
"RES-00644";"2025-10-05";"32";"72"
"RES-00645";"2025-10-06";"33";"77"
"RES-00646";"2025-10-07";"19";"45"
"RES-00647";"2025-10-08";"16";"39"
"RES-00648";"2025-10-09";"24";"47"
"RES-00649";"2025-10-10";"13";"34"
"RES-00650";"2025-10-11";"35";"83"
"RES-00651";"2025-10-12";"32";"77"
"RES-00652";"2025-10-13";"22";"55"
"RES-00653";"2025-10-14";"20";"45"
"RES-00654";"2025-10-15";"17";"42"
"RES-00655";"2025-10-16";"16";"37"
"RES-00656";"2025-10-17";"15";"41"
"RES-00657";"2025-10-18";"30";"71"
"RES-00658";"2025-10-19";"34";"82"
"RES-00659";"2025-10-20";"14";"38"
"RES-00660";"2025-10-21";"19";"48"
"RES-00661";"2025-10-22";"14";"30"
"RES-00662";"2025-10-23";"27";"69"
"RES-00663";"2025-10-24";"20";"47"
"RES-00664";"2025-10-25";"48";"109"
"RES-00665";"2025-10-26";"27";"65"
"RES-00666";"2025-10-27";"23";"48"
"RES-00667";"2025-10-28";"17";"37"
"RES-00668";"2025-10-29";"15";"37"
"RES-00669";"2025-10-30";"24";"52"
"RES-00670";"2025-10-31";"13";"30"
"RES-00671";"2025-11-01";"23";"51"
"RES-00672";"2025-11-02";"44";"109"
"RES-00673";"2025-11-03";"17";"41"
"RES-00674";"2025-11-04";"26";"58"
"RES-00675";"2025-11-05";"22";"56"
"RES-00676";"2025-11-06";"20";"53"
"RES-00677";"2025-11-07";"10";"25"
"RES-00678";"2025-11-08";"33";"70"
"RES-00679";"2025-11-09";"25";"59"
"RES-00680";"2025-11-10";"25";"59"
"RES-00681";"2025-11-11";"16";"34"
"RES-00682";"2025-11-12";"19";"47"
"RES-00683";"2025-11-13";"19";"44"
"RES-00684";"2025-11-14";"22";"50"
"RES-00685";"2025-11-15";"28";"66"
"RES-00686";"2025-11-16";"33";"76"
"RES-00687";"2025-11-17";"17";"42"
"RES-00688";"2025-11-18";"15";"37"
"RES-00689";"2025-11-19";"16";"37"
"RES-00690";"2025-11-20";"23";"54"
"RES-00691";"2025-11-21";"23";"57"
"RES-00692";"2025-11-22";"34";"88"
"RES-00693";"2025-11-23";"36";"89"
"RES-00694";"2025-11-24";"20";"46"
"RES-00695";"2025-11-25";"42";"101"
"RES-00696";"2025-11-26";"15";"35"
"RES-00697";"2025-11-27";"28";"67"
"RES-00698";"2025-11-28";"14";"34"
"RES-00699";"2025-11-29";"33";"91"
"RES-00700";"2025-11-30";"25";"52"
"RES-00701";"2025-12-01";"20";"52"
"RES-00702";"2025-12-02";"15";"40"
"RES-00703";"2025-12-03";"23";"47"
"RES-00704";"2025-12-04";"27";"62"
"RES-00705";"2025-12-05";"24";"62"
"RES-00706";"2025-12-06";"42";"90"
"RES-00707";"2025-12-07";"31";"76"
"RES-00708";"2025-12-08";"17";"33"
"RES-00709";"2025-12-09";"21";"48"
"RES-00710";"2025-12-10";"25";"68"
"RES-00711";"2025-12-11";"14";"33"
"RES-00712";"2025-12-12";"32";"79"
"RES-00713";"2025-12-13";"40";"89"
"RES-00714";"2025-12-14";"41";"92"
"RES-00715";"2025-12-15";"25";"63"
"RES-00716";"2025-12-16";"28";"64"
"RES-00717";"2025-12-17";"26";"67"
"RES-00718";"2025-12-18";"16";"40"
"RES-00719";"2025-12-19";"20";"47"
"RES-00720";"2025-12-20";"29";"75"
"RES-00721";"2025-12-21";"26";"64"
"RES-00722";"2025-12-22";"18";"35"
"RES-00723";"2025-12-23";"19";"35"
"RES-00724";"2025-12-24";"28";"71"
"RES-00725";"2025-12-25";"31";"76"
"RES-00726";"2025-12-26";"31";"61"
"RES-00727";"2025-12-27";"46";"114"
"RES-00728";"2025-12-28";"25";"62"
"RES-00729";"2025-12-29";"15";"34"
"RES-00730";"2025-12-30";"10";"28"
"RES-00731";"2025-12-31";"21";"49"
"RES-00732";"2026-01-01";"39";"80"
"RES-00733";"2026-01-02";"19";"45"
"RES-00734";"2026-01-03";"21";"51"
"RES-00735";"2026-01-04";"30";"78"
"RES-00736";"2026-01-05";"12";"32"
"RES-00737";"2026-01-06";"18";"49"
"RES-00738";"2026-01-07";"15";"33"
"RES-00739";"2026-01-08";"20";"49"
"RES-00740";"2026-01-09";"26";"66"
"RES-00741";"2026-01-10";"26";"62"
"RES-00742";"2026-01-11";"35";"84"
"RES-00743";"2026-01-12";"23";"56"
"RES-00744";"2026-01-13";"19";"46"
"RES-00745";"2026-01-14";"20";"47"
"RES-00746";"2026-01-15";"15";"35"
"RES-00747";"2026-01-16";"21";"48"
"RES-00748";"2026-01-17";"37";"95"
"RES-00749";"2026-01-18";"32";"73"
"RES-00750";"2026-01-19";"17";"36"
"RES-00751";"2026-01-20";"20";"44"
"RES-00752";"2026-01-21";"22";"52"
"RES-00753";"2026-01-22";"26";"51"
"RES-00754";"2026-01-23";"29";"67"
"RES-00755";"2026-01-24";"30";"71"
"RES-00756";"2026-01-25";"27";"64"
"RES-00757";"2026-01-26";"28";"68"
"RES-00758";"2026-01-27";"16";"38"
"RES-00759";"2026-01-28";"18";"43"
"RES-00760";"2026-01-29";"31";"74"
"RES-00761";"2026-01-30";"20";"51"
"RES-00762";"2026-01-31";"18";"43"
"RES-00763";"2026-02-01";"27";"60"
"RES-00764";"2026-02-02";"15";"39"
"RES-00765";"2026-02-03";"19";"46"
"RES-00766";"2026-02-04";"23";"56"
"RES-00767";"2026-02-05";"32";"71"
"RES-00768";"2026-02-06";"22";"58"
"RES-00769";"2026-02-07";"32";"75"
"RES-00770";"2026-02-08";"43";"112"
"RES-00771";"2026-02-09";"18";"42"
"RES-00772";"2026-02-10";"26";"64"
"RES-00773";"2026-02-11";"19";"43"
"RES-00774";"2026-02-12";"19";"46"
"RES-00775";"2026-02-13";"27";"66"
"RES-00776";"2026-02-14";"41";"82"
"RES-00777";"2026-02-15";"42";"107"
"RES-00778";"2026-02-16";"19";"47"
"RES-00779";"2026-02-17";"10";"26"
"RES-00780";"2026-02-18";"22";"48"
"RES-00781";"2026-02-19";"16";"36"
"RES-00782";"2026-02-20";"19";"47"
"RES-00783";"2026-02-21";"38";"85"
"RES-00784";"2026-02-22";"41";"109"
"RES-00785";"2026-02-23";"22";"47"
"RES-00786";"2026-02-24";"19";"48"
"RES-00787";"2026-02-25";"9";"20"
"RES-00788";"2026-02-26";"23";"51"
"RES-00789";"2026-02-27";"29";"72"
"RES-00790";"2026-02-28";"45";"97"
"RES-00791";"2026-03-01";"35";"75"
"RES-00792";"2026-03-02";"15";"38"
"RES-00793";"2026-03-03";"23";"56"
"RES-00794";"2026-03-04";"17";"37"
"RES-00795";"2026-03-05";"11";"25"
"RES-00796";"2026-03-06";"21";"51"
"RES-00797";"2026-03-07";"31";"66"
"RES-00798";"2026-03-08";"29";"76"
"RES-00799";"2026-03-09";"18";"46"
"RES-00800";"2026-03-10";"6";"15"
"RES-00801";"2026-03-11";"24";"56"
"RES-00802";"2026-03-12";"20";"49"
"RES-00803";"2026-03-13";"22";"47"
"RES-00804";"2026-03-14";"35";"77"
"RES-00805";"2026-03-15";"34";"92"
"RES-00806";"2026-03-16";"17";"36"
"RES-00807";"2026-03-17";"13";"30"
"RES-00808";"2026-03-18";"17";"37"
"RES-00809";"2026-03-19";"24";"61"
"RES-00810";"2026-03-20";"23";"55"
"RES-00811";"2026-03-21";"21";"48"
"RES-00812";"2026-03-22";"29";"75"
"RES-00813";"2026-03-23";"14";"34"
"RES-00814";"2026-03-24";"28";"63"
"RES-00815";"2026-03-25";"12";"28"
"RES-00816";"2026-03-26";"24";"46"
"RES-00817";"2026-03-27";"23";"52"
"RES-00818";"2026-03-28";"34";"82"
"RES-00819";"2026-03-29";"31";"78"
"RES-00820";"2026-03-30";"15";"40"
"RES-00821";"2026-03-31";"9";"21"
"RES-00822";"2026-04-01";"16";"35"
"RES-00823";"2026-04-02";"16";"42"
"RES-00824";"2026-04-03";"25";"61"
"RES-00825";"2026-04-04";"37";"86"
"RES-00826";"2026-04-05";"26";"65"
"RES-00827";"2026-04-06";"24";"53"
"RES-00828";"2026-04-07";"18";"43"
"RES-00829";"2026-04-08";"19";"43"
"RES-00830";"2026-04-09";"22";"53"
"RES-00831";"2026-04-10";"22";"52"
"RES-00832";"2026-04-11";"39";"103"
"RES-00833";"2026-04-12";"30";"69"
"RES-00834";"2026-04-13";"18";"43"
"RES-00835";"2026-04-14";"19";"47"
"RES-00836";"2026-04-15";"20";"51"
"RES-00837";"2026-04-16";"11";"26"
"RES-00838";"2026-04-17";"26";"58"
"RES-00839";"2026-04-18";"41";"116"
"RES-00840";"2026-04-19";"38";"93"
"RES-00841";"2026-04-20";"21";"51"
"RES-00842";"2026-04-21";"19";"50"
"RES-00843";"2026-04-22";"12";"30"
"RES-00844";"2026-04-23";"19";"45"
"RES-00845";"2026-04-24";"25";"67"
"RES-00846";"2026-04-25";"44";"100"
"RES-00847";"2026-04-26";"36";"74"
"RES-00848";"2026-04-27";"18";"38"
"RES-00849";"2026-04-28";"28";"60"
"RES-00850";"2026-04-29";"25";"62"
"RES-00851";"2026-04-30";"18";"40"
"RES-00852";"2026-05-01";"19";"42"
"RES-00853";"2026-05-02";"44";"92"
"RES-00854";"2026-05-03";"23";"58"
"RES-00855";"2026-05-04";"20";"46"
"RES-00856";"2026-05-05";"17";"44"
"RES-00857";"2026-05-06";"17";"41"
"RES-00858";"2026-05-07";"16";"37"
"RES-00859";"2026-05-08";"19";"45"
"RES-00860";"2026-05-09";"42";"99"
"RES-00861";"2026-05-10";"28";"68"
"RES-00862";"2026-05-11";"20";"45"
"RES-00863";"2026-05-12";"19";"48"
"RES-00864";"2026-05-13";"14";"35"
"RES-00865";"2026-05-14";"14";"31"
"RES-00866";"2026-05-15";"17";"32"
"RES-00867";"2026-05-16";"30";"70"
"RES-00868";"2026-05-17";"33";"86"
"RES-00869";"2026-05-18";"18";"37"
"RES-00870";"2026-05-19";"20";"52"
"RES-00871";"2026-05-20";"18";"41"
"RES-00872";"2026-05-21";"21";"53"
"RES-00873";"2026-05-22";"19";"45"
"RES-00874";"2026-05-23";"32";"73"
"RES-00875";"2026-05-24";"42";"104"
"RES-00876";"2026-05-25";"23";"55"
"RES-00877";"2026-05-26";"22";"59"
"RES-00878";"2026-05-27";"21";"48"
"RES-00879";"2026-05-28";"14";"32"
"RES-00880";"2026-05-29";"15";"37"
"RES-00881";"2026-05-30";"36";"81"
"RES-00882";"2026-05-31";"42";"94"
"RES-00883";"2026-06-01";"25";"63"
"RES-00884";"2026-06-02";"27";"62"
"RES-00885";"2026-06-03";"15";"33"
"RES-00886";"2026-06-04";"10";"26"
"RES-00887";"2026-06-05";"26";"59"
"RES-00888";"2026-06-06";"22";"51"
"RES-00889";"2026-06-07";"37";"84"
"RES-00890";"2026-06-08";"18";"42"
"RES-00891";"2026-06-09";"16";"36"
"RES-00892";"2026-06-10";"19";"48"
"RES-00893";"2026-06-11";"16";"36"
"RES-00894";"2026-06-12";"21";"51"
"RES-00895";"2026-06-13";"33";"75"
"RES-00896";"2026-06-14";"28";"69"
"RES-00897";"2026-06-15";"20";"49"
"RES-00898";"2026-06-16";"23";"50"
"RES-00899";"2026-06-17";"12";"28"
"RES-00900";"2026-06-18";"12";"31"
"RES-00901";"2026-06-19";"20";"42"
"RES-00902";"2026-06-20";"32";"78"
"RES-00903";"2026-06-21";"26";"64"
"RES-00904";"2026-06-22";"30";"82"
"RES-00905";"2026-06-23";"23";"54"
"RES-00906";"2026-06-24";"14";"30"
"RES-00907";"2026-06-25";"20";"51"
"RES-00908";"2026-06-26";"23";"58"
"RES-00909";"2026-06-27";"36";"71"
"RES-00910";"2026-06-28";"29";"66"
"RES-00911";"2026-06-29";"17";"37"
"RES-00912";"2026-06-30";"4";"10"
"RES-00913";"2026-07-01";"17";"44"
"RES-00914";"2026-07-02";"15";"42"
"RES-00915";"2026-07-03";"14";"33"
"RES-00916";"2026-07-04";"28";"71"
"RES-00917";"2026-07-05";"27";"63"
"RES-00918";"2026-07-06";"19";"50"
"RES-00919";"2026-07-07";"27";"70"
"RES-00920";"2026-07-08";"25";"67"
"RES-00921";"2026-07-09";"17";"37"
"RES-00922";"2026-07-10";"17";"36"
"RES-00923";"2026-07-11";"36";"83"
"RES-00924";"2026-07-12";"28";"60"
"RES-00925";"2026-07-13";"14";"31"
"RES-00926";"2026-07-14";"18";"42"
"RES-00927";"2026-07-15";"17";"42"
"RES-00928";"2026-07-16";"15";"36"
"RES-00929";"2026-07-17";"22";"55"
"RES-00930";"2026-07-18";"32";"72"
"RES-00931";"2026-07-19";"35";"93"
"RES-00932";"2026-07-20";"16";"34"
"RES-00933";"2026-07-21";"23";"56"
"RES-00934";"2026-07-22";"21";"41"
"RES-00935";"2026-07-23";"21";"54"
"RES-00936";"2026-07-24";"13";"28"
"RES-00937";"2026-07-25";"25";"66"
"RES-00938";"2026-07-26";"29";"69"
"RES-00939";"2026-07-27";"22";"49"
"RES-00940";"2026-07-28";"12";"29"
"RES-00941";"2026-07-29";"20";"49"
"RES-00942";"2026-07-30";"19";"47"
"RES-00943";"2026-07-31";"25";"56"
"RES-00944";"2026-08-01";"41";"105"
"RES-00945";"2026-08-02";"27";"65"
"RES-00946";"2026-08-03";"17";"37"
"RES-00947";"2026-08-04";"20";"54"
"RES-00948";"2026-08-05";"26";"64"
"RES-00949";"2026-08-06";"22";"49"
"RES-00950";"2026-08-07";"21";"47"
"RES-00951";"2026-08-08";"34";"79"
"RES-00952";"2026-08-09";"39";"93"
"RES-00953";"2026-08-10";"18";"46"
"RES-00954";"2026-08-11";"17";"42"
"RES-00955";"2026-08-12";"24";"59"
"RES-00956";"2026-08-13";"28";"69"
"RES-00957";"2026-08-14";"17";"35"
"RES-00958";"2026-08-15";"27";"60"
"RES-00959";"2026-08-16";"28";"59"
"RES-00960";"2026-08-17";"16";"43"
"RES-00961";"2026-08-18";"18";"44"
"RES-00962";"2026-08-19";"26";"65"
"RES-00963";"2026-08-20";"21";"55"
"RES-00964";"2026-08-21";"7";"17"
"RES-00965";"2026-08-22";"36";"83"
"RES-00966";"2026-08-23";"24";"67"
"RES-00967";"2026-08-24";"19";"46"
"RES-00968";"2026-08-25";"14";"35"
"RES-00969";"2026-08-26";"18";"42"
"RES-00970";"2026-08-27";"16";"33"
"RES-00971";"2026-08-28";"9";"21"
"RES-00972";"2026-08-29";"29";"77"
"RES-00973";"2026-08-30";"44";"107"
"RES-00974";"2026-08-31";"12";"29"
"RES-00975";"2026-09-01";"20";"49"
"RES-00976";"2026-09-02";"19";"55"
"RES-00977";"2026-09-03";"5";"11"
"RES-00978";"2026-09-04";"13";"28"
"RES-00979";"2026-09-05";"35";"85"
"RES-00980";"2026-09-06";"34";"69"
"RES-00981";"2026-09-07";"26";"66"
"RES-00982";"2026-09-08";"18";"47"
"RES-00983";"2026-09-09";"19";"40"
"RES-00984";"2026-09-10";"18";"37"
"RES-00985";"2026-09-11";"15";"37"
"RES-00986";"2026-09-12";"24";"58"
"RES-00987";"2026-09-13";"33";"63"
